DB 0 MOTIF	MA0051.1	IRF2
  33.0	7	4
  34.0	8	9
  35.0	2	3
  36.0	3	0
  37.0	0	1
  38.0	6	3
  39.0	3	1
  40.0	10	3
  41.0	1	4
  42.0	5	3
  43.0	5	6
  44.0	4	3
  45.0	1	8
  46.0	3	3
  47.0	4	2
  48.0	4	0
  49.0	3	0
  50.0	0	1
  51.0	0	2
  52.0	3	1
  53.0	1	2
  54.0	2	3
  55.0	0	0
  56.0	2	3
  57.0	2	5
  58.0	4	3
  59.0	3	4
  60.0	3	2
  61.0	1	1
  62.0	6	2
  63.0	3	5
  64.0	5	9.5
  65.0	2	3
  66.0	4	2
  67.0	3	1
  68.0	3	1
  69.0	1	2
  70.0	4.5	3
  71.0	4	4
  72.0	3	3
  73.0	3	4
  74.0	4	5
  75.0	2	4
  76.0	5	2.5
  77.0	5	1
  78.0	2	1
  79.0	0	5
  80.0	7	4
  81.0	5	1
  82.0	2	2
  83.0	3	2
  84.0	0	3
  85.0	3	3
  86.0	1	2.5
  87.0	2	4
  88.0	5	1
  89.0	3	3
  90.0	3	2
  91.0	3	2
  92.0	5	2
  93.0	4	7
  94.0	5	2
  95.0	3	5
  96.0	3	4
DB 0 MOTIF	MA0089.1	MAFG::NFE2L1
 -97.0	6	6.5
 -96.0	8	3
 -95.0	4	3
 -94.0	3	3
 -93.0	0	11
 -92.0	7	1.5
 -91.0	3.5	12
 -90.0	10	3.2
 -89.0	6	5
 -88.0	4	4
 -87.0	1	3
 -86.0	8	2.5
 -85.0	2	3
 -84.0	5.33333	9
 -83.0	5	4
 -82.0	3.5	5.83333
 -81.0	2	2
 -80.0	3	2.5
 -79.0	4	6
 -78.0	5	3
 -77.0	5	9
 -76.0	2	6
 -75.0	0.142857	7
 -74.0	4.5	4
 -73.0	6	8.5
 -72.0	8.5	3
 -71.0	13.5	8
 -70.0	6	8.83333
 -69.0	3	8
 -68.0	5	3
 -67.0	5	5
 -66.0	4	5
 -65.0	6	6.83333
 -64.0	9	5.5
 -63.0	3.5	3
 -62.0	5.5	3.5
 -61.0	7	7
 -60.0	3	2.5
 -59.0	8	3
 -58.0	4	1
 -57.0	12.5	3
 -56.0	8	6
 -55.0	10	9
 -54.0	3	3
 -53.0	2	3
 -52.0	8	1
 -51.0	3.14286	9.33333
 -50.0	2	6
 -49.0	7	3.5
 -48.0	7	3.5
 -47.0	3	2
 -46.0	9	8
 -45.0	5	6
 -44.0	10	6
 -43.0	4	3
 -42.0	2	8
 -41.0	5	3
 -40.0	2	6
 -39.0	5	2
 -38.0	1	8
 -37.0	2.5	0.5
 -36.0	3	3
 -35.0	3.33333	2
 -34.0	6	4
 -33.0	6	0
 -32.0	4	6
 -31.0	5	4
 -30.0	3	4
 -29.0	1	3
 -28.0	7	4
 -27.0	4.5	1
 -26.0	3	3
 -25.0	3.14286	3
 -24.0	5	2.2
 -23.0	4	4.5
 -22.0	7	3
 -21.0	6	6
 -20.0	6	2
 -19.0	3	4
 -18.0	3	4.5
 -17.0	4.5	1
 -16.0	4	6
 -15.0	5	2
 -14.0	6	3
 -13.0	1	2
 -12.0	3	1
 -11.0	4	5
 -10.0	5.5	6
  -9.0	1.5	4
  -8.0	1.5	2.5
  -7.0	3	1
  -6.0	4	1.5
  -5.0	5	2
  -4.0	4.5	2.83333
  -3.0	5	5.2
  -2.0	7	1.33333
  -1.0	0	0
   0.0	2.14286	3.5
   1.0	3	2.33333
   2.0	2	2
   3.0	2	4.5
   4.0	7	3
   5.0	6	1.5
   6.0	2	1
   7.0	3.5	2
   8.0	7	5
   9.0	0	2
  10.0	1	2
  11.0	3	3
  12.0	3.83333	3.5
  13.0	2	5
  14.0	3	3.2
  15.0	3	3
  16.0	1	3
  17.0	4	3
  18.0	2	4.5
  19.0	0	0.5
  20.0	3	4
  21.0	9	2.5
  22.0	2	3
  23.0	1.5	1
  24.0	6	4
  25.0	8	4
  26.0	4.14286	4
  27.0	0.5	7
  28.0	1.5	4
  29.0	7	2.5
  30.0	3.5	2
  31.0	1.5	5
  32.0	4.5	0
  33.0	1	2
  34.0	2	3
  35.0	0	2
  36.0	6	1
  37.0	2	0
  38.0	1	3
  39.0	2	1
  40.0	1	1
  41.0	3	2
  42.0	1	1
  43.0	3	0
  44.0	0	2
  45.0	0	2
  46.0	1	3
  47.0	1	1
  48.0	3	2
  49.0	1	3.33333
  50.0	2	3
  51.0	2.14286	1
  52.0	4	3
  53.0	2	4.5
  54.0	2	3
  55.0	0	4.5
  56.0	7	4.2
  57.0	0	2
  58.0	2	4
  59.0	1	2
  60.0	3	2
  61.0	2	1
  62.0	3	6
  63.0	5	4
  64.0	7	4
  65.0	4.33333	5
  66.0	2	3
  67.0	2	4
  68.0	3	2
  69.0	4	3
  70.0	1	3.5
  71.0	3	6.33333
  72.0	3	2
  73.0	5	0
  74.0	1.33333	3.33333
  75.0	2.14286	1.33333
  76.0	2	6
  77.0	2	1
  78.0	3	3
  79.0	1	5.5
  80.0	2	3.5
  81.0	4	3
  82.0	1	1.5
  83.0	6	1.5
  84.0	7	3
  85.0	4.33333	4
  86.0	3	2
  87.0	0	6
  88.0	0	2.5
  89.0	6	0
  90.0	3.5	3.5
  91.0	6	0.333333
  92.0	5.5	3
  93.0	3	1
  94.0	0.5	6
  95.0	1	3
  96.0	1	2
  97.0	4	1
DB 0 MOTIF	MA0108.2	TBP
 -92.5	3	2
 -91.5	4	1
 -90.5	1	2
 -89.5	3	2
 -88.5	2	1
 -87.5	3	0
 -86.5	4	2
 -85.5	4	0
 -84.5	2	3
 -83.5	2	3
 -82.5	1	0
 -81.5	1	3
 -80.5	3	4
 -79.5	0	1
 -78.5	1	0
 -77.5	1	4
 -76.5	1	2
 -75.5	1	6
 -74.5	1	3
 -73.5	0	2
 -72.5	1	2
 -71.5	4	3
 -70.5	4	1
 -69.5	1	1
 -68.5	0	1
 -67.5	2	0
 -66.5	1	3
 -65.5	0	2
 -64.5	1	2
 -63.5	2	0
 -62.5	0	0
 -61.5	0	4
 -60.5	0	0
 -59.5	1	2
 -58.5	0	1
 -57.5	1	1
 -56.5	0	0
 -55.5	2	3
 -54.5	0	3
 -53.5	0	3
 -52.5	1	2
 -51.5	0	2
 -50.5	1	1
 -49.5	0	1
 -48.5	0	0
 -47.5	2	2
 -46.5	2	2
 -45.5	0	0
 -44.5	0	1
 -43.5	1	1
 -42.5	0	1
 -41.5	3	0
 -40.5	0	2
 -39.5	0	0
 -38.5	2	1
 -37.5	1	1
 -36.5	1	2
 -35.5	0	3
 -34.5	1	4
 -33.5	3	2
 -32.5	0	2
 -31.5	1	3
 -30.5	0	1
 -29.5	0	2
 -28.5	2	2
 -27.5	1	0
 -26.5	0	1
 -25.5	8	6
 -24.5	10	8
 -23.5	18	15
 -22.5	18	17
 -21.5	14	12
 -20.5	8	2
 -19.5	1	4
 -18.5	0	1
 -17.5	1	1
 -16.5	0	1
 -15.5	0	2
 -14.5	1	0
 -13.5	1	3
 -12.5	1	0
 -11.5	1	2
 -10.5	0	1
  -9.5	4	1
  -8.5	0	0
  -7.5	0	1
  -6.5	0	1
  -5.5	0	0
  -4.5	1	2
  -3.5	0	2
  -2.5	2	4
  -1.5	1	2
  -0.5	0	1
   0.5	0	1
   1.5	0	0
   2.5	1	1
   3.5	2	1
   4.5	0	0
   5.5	0	1
   6.5	3	3
   7.5	1	1
   8.5	1	0
   9.5	2	2
  10.5	1	2
  11.5	4	3
  12.5	0	0
  13.5	1	0
  14.5	2	1
  15.5	1	0
  16.5	0	3
  17.5	1	1
  18.5	0	0
  19.5	0	1
  20.5	0	5
  21.5	0	1
  22.5	1	0
  23.5	1	3
  24.5	1	0
  25.5	1	1
  26.5	0	1
  27.5	2	0
  28.5	3	2
  29.5	1	2
  30.5	2	1
  31.5	0	0
  32.5	2	1
  33.5	1	0
  34.5	0	0
  35.5	0	1
  36.5	3	1
  37.5	1	4
  38.5	1	1
  39.5	1	0
  40.5	2	1
  41.5	0	1
  42.5	0	1
  43.5	0	3
  44.5	0	2
  45.5	1	0
  46.5	5	0
  47.5	0	1
  48.5	0	0
  49.5	2	0
  50.5	0	0
  51.5	2	1
  52.5	1	0
  53.5	0	1
  54.5	2	2
  55.5	0	6
  56.5	0	1
  57.5	1	0
  58.5	2	1
  59.5	3	2
  60.5	1	0
  61.5	1	2
  62.5	1	3
  63.5	3	4
  64.5	2	1
  65.5	4	1
  66.5	2	0
  67.5	3	5
  68.5	1	4
  69.5	2	0
  70.5	0	0
  71.5	2	2
  72.5	3	1
  73.5	2	1
  74.5	5	2
  75.5	0	1
  76.5	3	5
  77.5	3	0
  78.5	4	2
  79.5	2	1
  80.5	1	1
  81.5	0	1
  82.5	5	1
  83.5	1	1
  84.5	2	0
  85.5	3	5
  86.5	4	5
  87.5	2	2
  88.5	2	1
  89.5	3	1
  90.5	2	3
  91.5	0	0
  92.5	4	2
DB 0 MOTIF	MA0151.1	Arid3a
 -97.0	3	1
 -96.0	4	0
 -95.0	2	1
 -94.0	2	3
 -93.0	1	2
 -92.0	0	1
 -91.0	0	2
 -90.0	2.5	2
 -89.0	5	1
 -88.0	2.5	2
 -87.0	3	3.5
 -86.0	0.5	1
 -85.0	1	0
 -84.0	1	0
 -83.0	2	0
 -82.0	0	0
 -81.0	1	0
 -80.0	1	1
 -79.0	1	4
 -78.0	0	2.5
 -77.0	1	2
 -76.0	2	2
 -75.0	2	1
 -74.0	0	0.5
 -73.0	4	1
 -72.0	0	1.5
 -71.0	0	2
 -70.0	3	0
 -69.0	0	2
 -68.0	0	2
 -67.0	0	3
 -66.0	0	0.5
 -65.0	1.5	0
 -64.0	0	1
 -63.0	1	0
 -62.0	2	2
 -61.0	0	1
 -60.0	0	1
 -59.0	1	0
 -58.0	2	0
 -57.0	0	0
 -56.0	2	3
 -55.0	1	0
 -54.0	1	1
 -53.0	2	0
 -52.0	0	0
 -51.0	1	1
 -50.0	3	3
 -49.0	2	1
 -48.0	0	2
 -47.0	1	1
 -46.0	1	1
 -45.0	0.5	0
 -44.0	3	0
 -43.0	1.5	1
 -42.0	2	0
 -41.0	2	0.5
 -40.0	0	0
 -39.0	1	0
 -38.0	0	1
 -37.0	0	1
 -36.0	0	0
 -35.0	2	1
 -34.0	1	1
 -33.0	0	0
 -32.0	0	1
 -31.0	0	2
 -30.0	1	0
 -29.0	0	0
 -28.0	3	1
 -27.0	1	1
 -26.0	2	11
 -25.0	8	5
 -24.0	7	2
 -23.0	1	1
 -22.0	7	1.5
 -21.0	0	0
 -20.0	1	0
 -19.0	0	0
 -18.0	0	1
 -17.0	0	1
 -16.0	0	2
 -15.0	2	0
 -14.0	0	1
 -13.0	1	1
 -12.0	1	0
 -11.0	0	0
 -10.0	0	0
  -9.0	1	0
  -8.0	0	2
  -7.0	2	0
  -6.0	1	0
  -5.0	1	2
  -4.0	2	3
  -3.0	0	1
  -2.0	1	1
  -1.0	0	1
   0.0	2	0
   1.0	2	1
   2.0	0	0
   3.0	0	1
   4.0	1	0
   5.0	0	0
   6.0	0	0
   7.0	1	1
   8.0	2	1.5
   9.0	1.5	1
  10.0	1	1
  11.0	1	3
  12.0	2	0
  13.0	0	0
  14.0	1	2
  15.0	2	0
  16.0	0	0
  17.0	0	0
  18.0	1	1
  19.0	1	2
  20.0	1	1
  21.0	0	2
  22.0	1	1
  23.0	2	1
  24.0	1	1
  25.0	1	1
  26.0	2	1
  27.0	1	1
  28.0	3	1
  29.0	1	0
  30.0	3	1
  31.0	0	1.5
  32.0	1	0
  33.0	0	1
  34.0	1.5	1
  35.0	2	1
  36.0	0	0
  37.0	1	1
  38.0	2	2
  39.0	1	1
  40.0	1	1
  41.0	2	1
  42.0	0	0
  43.0	0	0
  44.0	1	0
  45.0	0	0
  46.0	0	0.5
  47.0	1	0
  48.0	0	1
  49.0	1	3
  50.0	0	0
  51.0	0	1
  52.0	1	1
  53.0	0.5	6
  54.0	1	0
  55.0	0	1.5
  56.0	1	1.5
  57.0	1.5	2
  58.0	0	2
  59.0	0	2
  60.0	1	1
  61.0	1.5	1
  62.0	1.5	2
  63.0	0	0
  64.0	2	2
  65.0	2	4
  66.0	1	2
  67.0	3	1
  68.0	0	0
  69.0	0	0.5
  70.0	3	1
  71.0	1	0
  72.0	4.5	0.5
  73.0	0	2
  74.0	5	3
  75.0	2	2
  76.0	0	2
  77.0	4	5
  78.0	0	0
  79.0	1	0
  80.0	0	2
  81.0	2	0
  82.0	2	1
  83.0	1	0
  84.0	4	1
  85.0	2	0
  86.0	2	0
  87.0	3	2
  88.0	0	1
  89.0	1	1
  90.0	1	1
  91.0	1.5	0
  92.0	2	0
  93.0	2	1.5
  94.0	2	2
  95.0	0.5	3.5
  96.0	1.5	3
  97.0	1	3
DB 0 MOTIF	MA0152.1	NFATC2
 -96.5	4	3
 -95.5	0	3
 -94.5	5	1
 -93.5	1	5
 -92.5	6	4
 -91.5	0.5	3
 -90.5	3	0
 -89.5	2	7
 -88.5	4	5
 -87.5	3	2
 -86.5	0	3.5
 -85.5	4	4
 -84.5	2	2
 -83.5	2	4
 -82.5	0	4.66667
 -81.5	2	1
 -80.5	7	6
 -79.5	5	6
 -78.5	2	2
 -77.5	3	6
 -76.5	6	1
 -75.5	2	1
 -74.5	5	4
 -73.5	4	0
 -72.5	2	4.5
 -71.5	2.5	1
 -70.5	2	1
 -69.5	1	4
 -68.5	7	5
 -67.5	5	7.5
 -66.5	2	2
 -65.5	3	3.5
 -64.5	1.5	3
 -63.5	4	4
 -62.5	4.5	2.66667
 -61.5	3	1
 -60.5	2	3
 -59.5	1	1
 -58.5	2	4
 -57.5	0	1
 -56.5	1	2.5
 -55.5	5	7
 -54.5	3.5	2
 -53.5	3	5
 -52.5	4.5	5
 -51.5	3	4
 -50.5	1	2
 -49.5	4	0
 -48.5	2	6
 -47.5	2	1
 -46.5	3	2
 -45.5	5	4
 -44.5	2	4
 -43.5	7	2
 -42.5	2	3
 -41.5	3	5
 -40.5	0	3
 -39.5	2	0
 -38.5	3	5.5
 -37.5	2	5
 -36.5	3	7
 -35.5	3	2
 -34.5	4	3
 -33.5	3	3
 -32.5	3	6
 -31.5	1	7
 -30.5	1	2
 -29.5	5	1
 -28.5	4	3
 -27.5	0	2
 -26.5	0	2
 -25.5	6	5
 -24.5	3	6.5
 -23.5	5	0.5
 -22.5	7.5	1
 -21.5	3	5
 -20.5	5.5	6
 -19.5	1	4
 -18.5	4	2
 -17.5	0	2
 -16.5	7	5
 -15.5	4	2.5
 -14.5	2	3
 -13.5	9	6.5
 -12.5	3	4
 -11.5	2	3
 -10.5	3	3
  -9.5	5	2
  -8.5	2	2
  -7.5	4	2
  -6.5	0	5
  -5.5	9	4
  -4.5	2	2
  -3.5	4	3
  -2.5	4	1
  -1.5	4	8.5
  -0.5	2	1
   0.5	3	1
   1.5	2	0
   2.5	1	2
   3.5	0	4
   4.5	11.5	6.5
   5.5	7	3
   6.5	7	4.5
   7.5	7	4
   8.5	7.5	5
   9.5	6	6
  10.5	4	6
  11.5	0	2
  12.5	4	6
  13.5	1.5	5
  14.5	0	3
  15.5	3	1
  16.5	2	2
  17.5	7.5	1
  18.5	2	1
  19.5	0	0
  20.5	4	3
  21.5	1	1
  22.5	1	6
  23.5	1	2
  24.5	3	1
  25.5	0	1.5
  26.5	2	1
  27.5	2	5
  28.5	0	4
  29.5	1	1
  30.5	2	2
  31.5	0	4
  32.5	4	0
  33.5	5	1
  34.5	6	2
  35.5	2	0
  36.5	5	2
  37.5	6	1.5
  38.5	3	5
  39.5	5	5
  40.5	8	6
  41.5	5	3
  42.5	5	5
  43.5	1	4
  44.5	2.5	4
  45.5	4	8
  46.5	3.5	7
  47.5	4	3
  48.5	2	5
  49.5	3.5	2
  50.5	0	0
  51.5	6	1
  52.5	3	1
  53.5	6	6
  54.5	8.5	4
  55.5	1	3
  56.5	4	5
  57.5	0	5
  58.5	1	1
  59.5	3	1
  60.5	0	1.66667
  61.5	2	2
  62.5	2	1
  63.5	1	6
  64.5	2	4
  65.5	6	2
  66.5	4	1
  67.5	3	4
  68.5	0	1
  69.5	1	7
  70.5	3	1
  71.5	0	10
  72.5	3	4
  73.5	4	3
  74.5	1	3
  75.5	0	2
  76.5	4	2
  77.5	6	9
  78.5	1.5	3
  79.5	3	5
  80.5	4	5.5
  81.5	0	2
  82.5	4	2
  83.5	2	6
  84.5	2	2
  85.5	3.5	2
  86.5	5	7
  87.5	5	3
  88.5	5	4
  89.5	3	1
  90.5	4	0
  91.5	3	4
  92.5	6	5
  93.5	5	4
  94.5	4.5	4
  95.5	5	3
  96.5	6.5	4
DB 0 MOTIF	MA0516.1	SP2
 -92.5	2	4
 -91.5	2	9
 -90.5	2	5
 -89.5	2	3
 -88.5	1	3
 -87.5	3	0
 -86.5	1	2
 -85.5	1	3
 -84.5	0	4
 -83.5	5	2
 -82.5	1	3
 -81.5	1	3
 -80.5	4	5
 -79.5	1	1
 -78.5	0	1
 -77.5	1.5	2
 -76.5	7	3
 -75.5	3	3
 -74.5	4	3
 -73.5	1	1
 -72.5	1	2
 -71.5	5	2.5
 -70.5	1	0
 -69.5	4	2
 -68.5	5	1
 -67.5	2	5
 -66.5	2	5
 -65.5	0	2
 -64.5	2	2
 -63.5	4	6
 -62.5	7	2
 -61.5	3	2
 -60.5	1	2
 -59.5	7	5
 -58.5	5	2
 -57.5	2.5	4
 -56.5	2	1.5
 -55.5	10	1
 -54.5	6	0
 -53.5	1	0
 -52.5	6	5
 -51.5	8	0
 -50.5	3	2
 -49.5	1	4
 -48.5	3	1
 -47.5	3	2
 -46.5	1	3
 -45.5	1	4
 -44.5	2	2
 -43.5	2	6
 -42.5	5	3
 -41.5	6	7
 -40.5	1	8
 -39.5	7	6
 -38.5	3	4
 -37.5	8	5
 -36.5	3	6
 -35.5	1	3
 -34.5	1	1
 -33.5	3	1
 -32.5	1	0
 -31.5	4	4
 -30.5	0	4
 -29.5	1	4
 -28.5	0	1
 -27.5	0	6
